entry_idx,entry_time,side,entry_volatility,entry_pvo,entry_adx,entry_volume,exit_idx,exit_time,trade_pnl
9,2025/10/01 17:00,BUY,740.5,215.74920677734943,44.62142753031019,24302.413,32,2025/10/03 15:00,65.32550934000018
36,2025/10/03 23:00,BUY,796.9214285714053,102.59048105060958,48.0931065259195,18292.794,57,2025/10/05 17:00,17.2113789000002
97,2025/10/09 01:00,BUY,1176.0285714285649,191.44120875523592,25.17278574782375,13116.107,101,2025/10/09 09:00,-24.852865590000093
120,2025/10/10 23:00,SELL,976.0357142857309,62.08156737468568,26.11174610277545,34514.067,147,2025/10/13 05:00,75.27211639999999
163,2025/10/14 13:00,SELL,1055.264285714299,38.82741170322742,29.3954822213853,16805.744,169,2025/10/15 01:00,-6.523483799999994
252,2025/10/21 23:00,BUY,1416.2285714285515,575.8563729717555,37.05654483903628,32354.636,255,2025/10/22 05:00,-39.61625327999991
277,2025/10/24 01:00,BUY,1038.5928571429104,139.33762635782597,28.55854885862582,12588.365,287,2025/10/24 21:00,-6.12108426999994
316,2025/10/27 07:00,BUY,837.4285714285714,71.85226077692187,52.18800733345106,11377.564,327,2025/10/28 05:00,-6.0029930000001315
348,2025/10/29 23:00,SELL,811.8785714285748,179.90262769551393,24.840166998494773,15625.431,356,2025/10/30 15:00,2.9767524000000094
403,2025/11/03 13:00,SELL,942.3642857142924,35.618752895670646,28.171868658881305,9042.804,426,2025/11/05 11:00,109.28742975999985
432,2025/11/05 23:00,BUY,1220.9214285714054,160.23081415113288,49.746043538893865,11434.96,437,2025/11/06 09:00,-7.15127292000011
482,2025/11/10 03:00,BUY,817.0285714285814,22.888884857143317,35.988021877973296,7389.235,492,2025/11/10 23:00,7.326018599999998
529,2025/11/14 01:00,SELL,1451.4857142857343,223.6240349635699,29.093329107631963,16776.339,540,2025/11/14 23:00,47.57746812000005
577,2025/11/18 01:00,SELL,1241.0785714285614,61.60825670055108,25.198109577294566,15284.125,588,2025/11/18 23:00,-3.306712349999998
589,2025/11/19 01:00,BUY,1268.185714285721,302.99206733484834,37.08818502635226,12154.867,593,2025/11/19 09:00,-16.970552999999995
595,2025/11/19 13:00,SELL,1178.3357142857276,160.36672608855622,27.108841796910372,12136.244,600,2025/11/19 23:00,11.318180949999999
605,2025/11/20 09:00,BUY,1498.4428571428539,86.19138820741844,36.513198388629895,8853.802,612,2025/11/20 23:00,-48.46133567999988
613,2025/11/21 01:00,SELL,1255.835714285711,98.28319763295407,28.338584542195722,38323.095,624,2025/11/21 23:00,81.72534195999998
661,2025/11/25 01:00,BUY,1140.2357142857343,27.59467248988603,25.092235635465254,14753.173,669,2025/11/25 17:00,-28.04543770999979
754,2025/12/02 19:00,BUY,783.4071428571395,115.45799494956265,26.893005030032572,5829.559,768,2025/12/03 23:00,169.86221616000026
817,2025/12/08 01:00,BUY,855.2214285714352,21.60024690001216,40.76353546318482,12034.268,820,2025/12/08 07:00,-23.502456960000245
840,2025/12/09 23:00,BUY,866.2142857142691,278.32372493820213,26.44702713043505,16618.746,850,2025/12/10 19:00,-22.92648079999981
857,2025/12/11 09:00,SELL,1188.3214285714287,132.99623897363608,21.475230131639115,7552.821,867,2025/12/12 05:00,-60.331281169999784
924,2025/12/16 23:00,BUY,1007.9000000000067,573.1042455888488,42.849886862708296,19966.873,931,2025/12/17 13:00,-39.750080160000095
